,index,Substrate,SMILES,Set,BDE,BDEfr,forceconstant,bondorder,charge_H,alpha_H,SASA,charge_C,alpha_C,DFT_Barrier,rxn_smile,s_rad,q_rad,q_mol,q_molH,Buried_Vol,BDFE,fr_BDE
0,0,dimethylamine,CNC.CN[CH2],Training,117.98,123.22,0.9315,0.975,0.009,2.664,13.79,-0.025,6.587,7.62,[CH3:1][NH:2][CH3:3].[CH3:1][NH:2][CH2:3],0.83029723,-0.34079224,-0.319426,0.13389531,0.20691317410748244,82.35921552941527,126.51016671450304
1,1,dimethylether,COC.CO[CH2],Training,122.27,127.66,0.9703,0.977,0.028,2.532,13.643,0.042,6.443,12.17,[CH3:1][O:2][CH3:3].[CH3:1][O:2][CH2:3],0.8888153,-0.23594463,-0.23171635,0.1294985,0.20113953549829405,86.67228942623021,129.84365956500474
2,3,ethylbenzene_C7,CCC1=CC=CC=C1.C[CH]C2=CC=CC=C2,Training,109.18,131.27,1.0354,0.975,0.035,2.482,12.542,-0.058,6.617,12.09,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:1][CH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1,0.75102985,-0.12267462,-0.37191874,0.14402257,0.4370767005771249,79.27159894966411,132.02139005398945
3,4,isobutane_C2,CC(C)C.C[C](C)C,Training,121.46,129.1,1.0028,0.97,0.025,2.552,13.185,-0.004,6.459,14.27,[CH3:1][CH:2]([CH3:3])[CH3:4].[CH3:1][C:2]([CH3:3])[CH3:4],0.8942153,-0.036579967,-0.08947574,0.11794827,0.4774238255192047,86.58461502961947,130.67880112212083
4,5,isopropylbenzene_C7,CC(C)C1=CC=CC=C1.C[C](C)C2=CC=CC=C2,Training,106.68,128.93,1.0037,0.968,0.03,2.515,10.971,-0.014,6.485,13.34,[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[CH3:1][C:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1,0.7281124,0.08785893,-0.23451336,0.120118685,0.5599648285484669,77.68593611967609,128.87045664909306
5,6,methane,C.[CH3],Training,137.28,143.39,1.1218,0.998,0.039,2.454,15.115,-0.156,6.959,20.72,[CH4:1].[CH3:1],0.94059926,-0.49277782,-0.53463155,0.1336579,-0.0026644956179593393,95.04846245512253,142.1386783331722
6,8,propane_C1,CCC.CC[CH2],Training,130.4,137.07,1.0728,0.988,0.034,2.49,13.523,-0.102,6.766,17.66,[CH3:1][CH2:2][CH3:3].[CH3:1][CH2:2][CH2:3],0.9953467,-0.3941766,-0.42727664,0.13537551,0.23244745553251653,91.04071897154691,136.26966145827868
7,9,propane2_C2,CCC.C[CH]C,Training,125.13,132.27,1.0347,0.98,0.028,2.531,13.909,-0.047,6.59,14.82,[CH3:1][CH2:2][CH3:3].[CH3:1][CH:2][CH3:3],0.9572245,-0.17023443,-0.20836116,0.12533066,0.33521752927206516,86.89926514562404,132.72009760919912
8,10,propene,C=CC.C=C[CH2],Training,112.4,129.91,1.0471,0.971,0.044,2.422,14.645,-0.104,6.769,12.88,[CH2:1]=[CH:2][CH3:3].[CH2:1]=[CH:2][CH2:3],0.6113616,-0.32465866,-0.4125399,0.13940212,0.23662020547608204,80.06884573551577,135.8465756647146
9,11,propionaldehyde_C2,O=CCC.O=C[CH]C,Training,110.99,126.28,1.0161,0.946,0.064,2.297,13.96,-0.078,6.677,11.45,[O:1]=[CH:2][CH2:3][CH3:4].[O:1]=[CH:2][CH:3][CH3:4],0.73704565,-0.09203143,-0.23916292,0.14788498,0.3765219438025965,79.62934809051798,127.14522886673026
10,12,toluene,CC1=CC=CC=C1.[CH2]C2=CC=CC=C2,Training,112.89,127.3,1.0419,0.968,0.046,2.406,14.665,-0.109,6.782,13.05,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1,0.7643376,-0.33818126,-0.4725318,0.14639017,0.28503913074155174,83.16095602504546,134.1458272296223
11,13,trimethylamine,CN(C)C.CN(C)[CH2],Training,117.8,123.43,0.9248,0.973,0.011,2.649,12.866,-0.03,6.583,6.67,[CH3:1][N:2]([CH3:3])[CH3:4].[CH3:1][N:2]([CH3:3])[CH2:4],0.83492845,-0.38233015,-0.34030926,0.13569424,0.28286896016104013,82.26401954486818,127.93030932625135
12,15,2hydroxypropene,OC(C)=C.OC([CH2])=C,Test,114.44,131.21,1.0618,0.971,0.061,2.313,14.456,-0.117,6.808,11.74,[OH:1][C:2]([CH3:3])=[CH2:4].[OH:1][C:2]([CH2:3])=[CH2:4],0.6741175,-0.36555606,-0.4208109,0.14736405,0.2756095925206943,81.9431149335406,134.98234266591857
13,17,NNdimethylaniline,CN(C)C1=CC=CC=C1.[CH2]N(C)C2=CC=CC=C2,Test,111.7,119.68,0.9661,0.975,0.035,2.484,13.457,-0.04,6.626,6.91,[CH3:1][N:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[CH2:1][N:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1,0.8250827,-0.36540508,-0.3823692,0.1506713,0.31821505015871326,81.9716071671102,126.07324613757868
14,18,Nmethylaniline,CNC1=CC=CC=C1.[CH2]NC2=CC=CC=C2,Test,112.4,120.67,0.9656,0.975,0.032,2.504,13.947,-0.032,6.615,7.62,[CH3:1][NH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH2:1][NH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1,0.8322902,-0.32512972,-0.36593223,0.15115324,0.24861706537137057,82.25034651146453,123.17054840267835
15,19,ethylbenzene_C8,CCC1=CC=CC=C1.[CH2]CC2=CC=CC=C2,Test,129.44,135.6,1.0701,0.986,0.035,2.48,14.555,-0.097,6.75,17.26,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH2:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1,1.0527583,-0.39182162,-0.3924612,0.14100644,0.2772740021328688,91.2556052604215,136.87432428384218
16,22,methoxybenzene,COC1=CC=CC=C1.[CH2]OC2=CC=CC=C2,Test,119.53,126.2,0.9958,0.977,0.039,2.456,12.975,0.039,6.468,13.03,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH2:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1,0.9299791,-0.2514649,-0.29872024,0.15067817,0.2495929628672045,88.05107861938824,127.47952546847279
17,23,pxylene,CC1=CC=C(C)C=C1.CC2=CC=C([CH2])C=C2,Test,112.25,126.75,1.0402,0.969,0.044,2.418,14.671,-0.108,6.779,12.67,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6])[cH:7][cH:8]1,0.7662724,-0.35217968,-0.4780976,0.14806053,0.2873990265964946,82.46096254050275,132.9463047164011
